agents,utilities
"('MCTS-UCB1-0.1-NST' / 'MCTS-ProgressiveHistory-0.6-Random4')","-1.0;1.0"
"('MCTS-UCB1-0.1-NST' / 'MCTS-ProgressiveHistory-0.6-Random4')","-1.0;1.0"
"('MCTS-UCB1-0.1-NST' / 'MCTS-ProgressiveHistory-0.6-Random4')","0.0;0.0"
"('MCTS-UCB1-0.1-NST' / 'MCTS-ProgressiveHistory-0.6-Random4')","-1.0;1.0"
"('MCTS-UCB1-0.1-NST' / 'MCTS-ProgressiveHistory-0.6-Random4')","-1.0;1.0"
"('MCTS-UCB1-0.1-NST' / 'MCTS-ProgressiveHistory-0.6-Random4')","-1.0;1.0"
"('MCTS-UCB1-0.1-NST' / 'MCTS-ProgressiveHistory-0.6-Random4')","-1.0;1.0"
"('MCTS-UCB1-0.1-NST' / 'MCTS-ProgressiveHistory-0.6-Random4')","-1.0;1.0"
"('MCTS-UCB1-0.1-NST' / 'MCTS-ProgressiveHistory-0.6-Random4')","-1.0;1.0"
"('MCTS-UCB1-0.1-NST' / 'MCTS-ProgressiveHistory-0.6-Random4')","-1.0;1.0"
"('MCTS-ProgressiveHistory-0.6-Random4' / 'MCTS-UCB1-0.1-NST')","1.0;-1.0"
"('MCTS-ProgressiveHistory-0.6-Random4' / 'MCTS-UCB1-0.1-NST')","0.0;0.0"
"('MCTS-ProgressiveHistory-0.6-Random4' / 'MCTS-UCB1-0.1-NST')","0.0;0.0"
"('MCTS-ProgressiveHistory-0.6-Random4' / 'MCTS-UCB1-0.1-NST')","0.0;0.0"
"('MCTS-ProgressiveHistory-0.6-Random4' / 'MCTS-UCB1-0.1-NST')","1.0;-1.0"
"('MCTS-ProgressiveHistory-0.6-Random4' / 'MCTS-UCB1-0.1-NST')","0.0;0.0"
"('MCTS-ProgressiveHistory-0.6-Random4' / 'MCTS-UCB1-0.1-NST')","1.0;-1.0"
"('MCTS-ProgressiveHistory-0.6-Random4' / 'MCTS-UCB1-0.1-NST')","1.0;-1.0"
"('MCTS-ProgressiveHistory-0.6-Random4' / 'MCTS-UCB1-0.1-NST')","1.0;-1.0"
"('MCTS-ProgressiveHistory-0.6-Random4' / 'MCTS-UCB1-0.1-NST')","0.0;0.0"
