agents,utilities
"('Random' / 'Random' / 'MCTS-UCB1-0.1-NST')","-1.0;0.0;1.0"
"('Random' / 'Random' / 'MCTS-UCB1-0.1-NST')","-1.0;0.0;1.0"
"('Random' / 'Random' / 'MCTS-UCB1-0.1-NST')","-1.0;0.0;1.0"
"('Random' / 'Random' / 'MCTS-UCB1-0.1-NST')","0.0;-1.0;1.0"
"('Random' / 'Random' / 'MCTS-UCB1-0.1-NST')","-1.0;0.0;1.0"
"('Random' / 'Random' / 'MCTS-UCB1-0.1-NST')","0.0;-1.0;1.0"
"('Random' / 'Random' / 'MCTS-UCB1-0.1-NST')","-1.0;0.0;1.0"
"('Random' / 'Random' / 'MCTS-UCB1-0.1-NST')","0.0;-1.0;1.0"
"('Random' / 'Random' / 'MCTS-UCB1-0.1-NST')","0.0;-1.0;1.0"
"('Random' / 'Random' / 'MCTS-UCB1-0.1-NST')","-1.0;0.0;1.0"
"('MCTS-UCB1-0.1-NST' / 'Random' / 'Random')","1.0;-1.0;0.0"
"('MCTS-UCB1-0.1-NST' / 'Random' / 'Random')","1.0;0.0;-1.0"
"('MCTS-UCB1-0.1-NST' / 'Random' / 'Random')","1.0;-1.0;0.0"
"('MCTS-UCB1-0.1-NST' / 'Random' / 'Random')","1.0;-1.0;0.0"
"('MCTS-UCB1-0.1-NST' / 'Random' / 'Random')","1.0;-0.5;-0.5"
"('MCTS-UCB1-0.1-NST' / 'Random' / 'Random')","1.0;-1.0;0.0"
"('MCTS-UCB1-0.1-NST' / 'Random' / 'Random')","1.0;0.0;-1.0"
"('MCTS-UCB1-0.1-NST' / 'Random' / 'Random')","1.0;0.0;-1.0"
"('MCTS-UCB1-0.1-NST' / 'Random' / 'Random')","1.0;-1.0;0.0"
"('MCTS-UCB1-0.1-NST' / 'Random' / 'Random')","1.0;-1.0;0.0"
"('Random' / 'MCTS-UCB1-0.1-NST' / 'Random')","-1.0;1.0;0.0"
"('Random' / 'MCTS-UCB1-0.1-NST' / 'Random')","-0.5;1.0;-0.5"
"('Random' / 'MCTS-UCB1-0.1-NST' / 'Random')","-1.0;1.0;0.0"
"('Random' / 'MCTS-UCB1-0.1-NST' / 'Random')","-1.0;1.0;0.0"
"('Random' / 'MCTS-UCB1-0.1-NST' / 'Random')","-1.0;1.0;0.0"
"('Random' / 'MCTS-UCB1-0.1-NST' / 'Random')","0.0;1.0;-1.0"
"('Random' / 'MCTS-UCB1-0.1-NST' / 'Random')","0.0;1.0;-1.0"
"('Random' / 'MCTS-UCB1-0.1-NST' / 'Random')","-1.0;1.0;0.0"
"('Random' / 'MCTS-UCB1-0.1-NST' / 'Random')","-1.0;1.0;0.0"
"('Random' / 'MCTS-UCB1-0.1-NST' / 'Random')","-0.5;1.0;-0.5"
