agents,utilities
"('MCTS-UCB1Tuned-0.6-NST' / 'MCTS-ProgressiveHistory-1.41421356237-Random200')","1.0;-1.0"
"('MCTS-UCB1Tuned-0.6-NST' / 'MCTS-ProgressiveHistory-1.41421356237-Random200')","-1.0;1.0"
"('MCTS-UCB1Tuned-0.6-NST' / 'MCTS-ProgressiveHistory-1.41421356237-Random200')","-1.0;1.0"
"('MCTS-UCB1Tuned-0.6-NST' / 'MCTS-ProgressiveHistory-1.41421356237-Random200')","1.0;-1.0"
"('MCTS-UCB1Tuned-0.6-NST' / 'MCTS-ProgressiveHistory-1.41421356237-Random200')","-1.0;1.0"
"('MCTS-UCB1Tuned-0.6-NST' / 'MCTS-ProgressiveHistory-1.41421356237-Random200')","-1.0;1.0"
"('MCTS-UCB1Tuned-0.6-NST' / 'MCTS-ProgressiveHistory-1.41421356237-Random200')","-1.0;1.0"
"('MCTS-UCB1Tuned-0.6-NST' / 'MCTS-ProgressiveHistory-1.41421356237-Random200')","-1.0;1.0"
"('MCTS-UCB1Tuned-0.6-NST' / 'MCTS-ProgressiveHistory-1.41421356237-Random200')","-1.0;1.0"
"('MCTS-UCB1Tuned-0.6-NST' / 'MCTS-ProgressiveHistory-1.41421356237-Random200')","-1.0;1.0"
"('MCTS-ProgressiveHistory-1.41421356237-Random200' / 'MCTS-UCB1Tuned-0.6-NST')","1.0;-1.0"
"('MCTS-ProgressiveHistory-1.41421356237-Random200' / 'MCTS-UCB1Tuned-0.6-NST')","1.0;-1.0"
"('MCTS-ProgressiveHistory-1.41421356237-Random200' / 'MCTS-UCB1Tuned-0.6-NST')","1.0;-1.0"
"('MCTS-ProgressiveHistory-1.41421356237-Random200' / 'MCTS-UCB1Tuned-0.6-NST')","1.0;-1.0"
"('MCTS-ProgressiveHistory-1.41421356237-Random200' / 'MCTS-UCB1Tuned-0.6-NST')","-1.0;1.0"
"('MCTS-ProgressiveHistory-1.41421356237-Random200' / 'MCTS-UCB1Tuned-0.6-NST')","-1.0;1.0"
"('MCTS-ProgressiveHistory-1.41421356237-Random200' / 'MCTS-UCB1Tuned-0.6-NST')","-1.0;1.0"
"('MCTS-ProgressiveHistory-1.41421356237-Random200' / 'MCTS-UCB1Tuned-0.6-NST')","1.0;-1.0"
"('MCTS-ProgressiveHistory-1.41421356237-Random200' / 'MCTS-UCB1Tuned-0.6-NST')","1.0;-1.0"
"('MCTS-ProgressiveHistory-1.41421356237-Random200' / 'MCTS-UCB1Tuned-0.6-NST')","1.0;-1.0"
