agents,utilities
"('Random' / 'MCTS-UCB1-1.41421356237-Random200' / 'Random' / 'Random' / 'Random' / 'Random')","1.0;1.0;1.0;-0.20000000000000018;-0.20000000000000018;-0.20000000000000018"
"('Random' / 'MCTS-UCB1-1.41421356237-Random200' / 'Random' / 'Random' / 'Random' / 'Random')","1.0;1.0;1.0;-0.20000000000000018;-0.20000000000000018;-0.20000000000000018"
"('Random' / 'MCTS-UCB1-1.41421356237-Random200' / 'Random' / 'Random' / 'Random' / 'Random')","-0.20000000000000018;-0.20000000000000018;-0.20000000000000018;1.0;1.0;1.0"
"('Random' / 'MCTS-UCB1-1.41421356237-Random200' / 'Random' / 'Random' / 'Random' / 'Random')","-0.20000000000000018;-0.20000000000000018;-0.20000000000000018;1.0;1.0;1.0"
"('Random' / 'MCTS-UCB1-1.41421356237-Random200' / 'Random' / 'Random' / 'Random' / 'Random')","-0.20000000000000018;-0.20000000000000018;-0.20000000000000018;1.0;1.0;1.0"
"('Random' / 'MCTS-UCB1-1.41421356237-Random200' / 'Random' / 'Random' / 'Random' / 'Random')","-0.20000000000000018;-0.20000000000000018;-0.20000000000000018;1.0;1.0;1.0"
"('Random' / 'Random' / 'Random' / 'Random' / 'MCTS-UCB1-1.41421356237-Random200' / 'Random')","-0.20000000000000018;-0.20000000000000018;-0.20000000000000018;1.0;1.0;1.0"
"('Random' / 'Random' / 'Random' / 'Random' / 'MCTS-UCB1-1.41421356237-Random200' / 'Random')","-0.20000000000000018;-0.20000000000000018;-0.20000000000000018;1.0;1.0;1.0"
"('Random' / 'Random' / 'Random' / 'Random' / 'MCTS-UCB1-1.41421356237-Random200' / 'Random')","1.0;1.0;1.0;-0.20000000000000018;-0.20000000000000018;-0.20000000000000018"
"('Random' / 'Random' / 'Random' / 'Random' / 'MCTS-UCB1-1.41421356237-Random200' / 'Random')","1.0;1.0;1.0;-0.20000000000000018;-0.20000000000000018;-0.20000000000000018"
"('Random' / 'Random' / 'Random' / 'Random' / 'MCTS-UCB1-1.41421356237-Random200' / 'Random')","-0.20000000000000018;-0.20000000000000018;-0.20000000000000018;1.0;1.0;1.0"
"('Random' / 'Random' / 'Random' / 'Random' / 'MCTS-UCB1-1.41421356237-Random200' / 'Random')","1.0;1.0;1.0;-0.20000000000000018;-0.20000000000000018;-0.20000000000000018"
"('Random' / 'Random' / 'Random' / 'Random' / 'MCTS-UCB1-1.41421356237-Random200' / 'Random')","1.0;1.0;1.0;-0.20000000000000018;-0.20000000000000018;-0.20000000000000018"
"('Random' / 'Random' / 'Random' / 'Random' / 'MCTS-UCB1-1.41421356237-Random200' / 'Random')","1.0;1.0;1.0;-0.20000000000000018;-0.20000000000000018;-0.20000000000000018"
"('Random' / 'Random' / 'Random' / 'Random' / 'MCTS-UCB1-1.41421356237-Random200' / 'Random')","1.0;1.0;1.0;-0.20000000000000018;-0.20000000000000018;-0.20000000000000018"
"('Random' / 'Random' / 'Random' / 'Random' / 'MCTS-UCB1-1.41421356237-Random200' / 'Random')","-0.20000000000000018;-0.20000000000000018;-0.20000000000000018;1.0;1.0;1.0"
"('Random' / 'Random' / 'Random' / 'Random' / 'MCTS-UCB1-1.41421356237-Random200' / 'Random')","1.0;1.0;1.0;-0.20000000000000018;-0.20000000000000018;-0.20000000000000018"
"('Random' / 'Random' / 'Random' / 'Random' / 'MCTS-UCB1-1.41421356237-Random200' / 'Random')","-0.20000000000000018;-0.20000000000000018;-0.20000000000000018;1.0;1.0;1.0"
"('Random' / 'Random' / 'Random' / 'Random' / 'MCTS-UCB1-1.41421356237-Random200' / 'Random')","-0.20000000000000018;-0.20000000000000018;-0.20000000000000018;1.0;1.0;1.0"
"('Random' / 'Random' / 'Random' / 'MCTS-UCB1-1.41421356237-Random200' / 'Random' / 'Random')","1.0;1.0;1.0;-0.20000000000000018;-0.20000000000000018;-0.20000000000000018"
"('Random' / 'Random' / 'Random' / 'MCTS-UCB1-1.41421356237-Random200' / 'Random' / 'Random')","1.0;1.0;1.0;-0.20000000000000018;-0.20000000000000018;-0.20000000000000018"
"('Random' / 'Random' / 'Random' / 'MCTS-UCB1-1.41421356237-Random200' / 'Random' / 'Random')","1.0;1.0;1.0;-0.20000000000000018;-0.20000000000000018;-0.20000000000000018"
"('Random' / 'Random' / 'Random' / 'MCTS-UCB1-1.41421356237-Random200' / 'Random' / 'Random')","1.0;1.0;1.0;-0.20000000000000018;-0.20000000000000018;-0.20000000000000018"
"('Random' / 'Random' / 'Random' / 'MCTS-UCB1-1.41421356237-Random200' / 'Random' / 'Random')","1.0;1.0;1.0;-0.20000000000000018;-0.20000000000000018;-0.20000000000000018"
"('Random' / 'Random' / 'Random' / 'MCTS-UCB1-1.41421356237-Random200' / 'Random' / 'Random')","-0.20000000000000018;-0.20000000000000018;-0.20000000000000018;1.0;1.0;1.0"
"('Random' / 'Random' / 'Random' / 'MCTS-UCB1-1.41421356237-Random200' / 'Random' / 'Random')","-0.20000000000000018;-0.20000000000000018;-0.20000000000000018;1.0;1.0;1.0"
"('Random' / 'Random' / 'Random' / 'MCTS-UCB1-1.41421356237-Random200' / 'Random' / 'Random')","-0.20000000000000018;-0.20000000000000018;-0.20000000000000018;1.0;1.0;1.0"
"('Random' / 'Random' / 'Random' / 'MCTS-UCB1-1.41421356237-Random200' / 'Random' / 'Random')","-0.20000000000000018;-0.20000000000000018;-0.20000000000000018;1.0;1.0;1.0"
