agents,utilities
"('MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1Tuned-0.1-MAST' / 'MCTS-UCB1-0.6-Random4' / 'MCTS-UCB1Tuned-0.6-Random4' / 'MCTS-UCB1GRAVE-0.6-NST' / 'MCTS-UCB1Tuned-1.41421356237-MAST')","-0.16666666666666652;-0.16666666666666652;0.6666666666666667;1.0;-1.0;0.33333333333333337;-0.6666666666666665"
"('MCTS-UCB1Tuned-0.1-MAST' / 'MCTS-UCB1-0.6-Random4' / 'MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1Tuned-0.6-Random4' / 'MCTS-UCB1GRAVE-0.6-NST' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-ProgressiveHistory-0.6-Random200')","-0.6666666666666665;0.6666666666666667;-0.6666666666666665;0.6666666666666667;0.0;0.6666666666666667;-0.6666666666666665"
"('MCTS-UCB1GRAVE-0.6-NST' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-UCB1-0.6-Random4' / 'MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-UCB1Tuned-0.6-Random4' / 'MCTS-UCB1Tuned-0.1-MAST' / 'MCTS-UCB1-1.41421356237-NST')","0.0;-0.6666666666666665;1.0;0.6666666666666667;-1.0;0.0;0.0"
"('MCTS-UCB1GRAVE-0.6-NST' / 'MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-UCB1Tuned-0.1-MAST' / 'MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1Tuned-0.6-Random4' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-UCB1-0.6-Random4')","-0.8333333333333333;0.33333333333333337;0.33333333333333337;-0.33333333333333326;-0.8333333333333333;0.33333333333333337;1.0"
"('MCTS-UCB1GRAVE-0.6-NST' / 'MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-UCB1Tuned-0.6-Random4' / 'MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1Tuned-0.1-MAST' / 'MCTS-UCB1-0.6-Random4')","0.6666666666666667;1.0;-0.6666666666666665;0.16666666666666674;-0.6666666666666665;0.16666666666666674;-0.6666666666666665"
"('MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-UCB1-0.6-Random4' / 'MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1Tuned-0.6-Random4' / 'MCTS-UCB1GRAVE-0.6-NST' / 'MCTS-UCB1Tuned-0.1-MAST' / 'MCTS-UCB1Tuned-1.41421356237-MAST')","-0.5;0.33333333333333337;-0.5;1.0;0.33333333333333337;-1.0;0.33333333333333337"
"('MCTS-UCB1-0.6-Random4' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-UCB1-1.41421356237-NST' / 'MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-UCB1Tuned-0.1-MAST' / 'MCTS-UCB1GRAVE-0.6-NST' / 'MCTS-UCB1Tuned-0.6-Random4')","1.0;0.6666666666666667;-1.0;-0.16666666666666652;0.33333333333333337;-0.6666666666666665;-0.16666666666666652"
"('MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-UCB1-0.6-Random4' / 'MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-UCB1Tuned-0.1-MAST' / 'MCTS-UCB1GRAVE-0.6-NST' / 'MCTS-UCB1Tuned-0.6-Random4')","0.16666666666666674;-0.6666666666666665;0.16666666666666674;-1.0;-0.33333333333333326;0.6666666666666667;1.0"
"('MCTS-UCB1Tuned-0.6-Random4' / 'MCTS-UCB1GRAVE-0.6-NST' / 'MCTS-UCB1-1.41421356237-NST' / 'MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-UCB1Tuned-0.1-MAST' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-UCB1-0.6-Random4')","0.8333333333333334;0.33333333333333337;-0.16666666666666652;-0.8333333333333333;0.8333333333333334;-0.16666666666666652;-0.8333333333333333"
"('MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1Tuned-0.1-MAST' / 'MCTS-UCB1Tuned-0.6-Random4' / 'MCTS-UCB1-0.6-Random4' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-UCB1GRAVE-0.6-NST' / 'MCTS-ProgressiveHistory-0.6-Random200')","-0.8333333333333333;0.16666666666666674;1.0;-0.33333333333333326;0.16666666666666674;-0.8333333333333333;0.6666666666666667"
"('MCTS-UCB1Tuned-0.1-MAST' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-UCB1GRAVE-0.6-NST' / 'MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-UCB1Tuned-0.6-Random4' / 'MCTS-UCB1-0.6-Random4' / 'MCTS-UCB1-1.41421356237-NST')","0.6666666666666667;0.0;-1.0;0.0;-0.6666666666666665;1.0;0.0"
"('MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1-0.6-Random4' / 'MCTS-UCB1Tuned-0.1-MAST' / 'MCTS-UCB1GRAVE-0.6-NST' / 'MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-UCB1Tuned-0.6-Random4' / 'MCTS-UCB1Tuned-1.41421356237-MAST')","0.6666666666666667;-0.6666666666666665;1.0;-0.16666666666666652;-1.0;-0.16666666666666652;0.33333333333333337"
"('MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-UCB1GRAVE-0.6-NST' / 'MCTS-UCB1-0.6-Random4' / 'MCTS-UCB1Tuned-0.6-Random4' / 'MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-UCB1Tuned-0.1-MAST')","-0.16666666666666652;-0.8333333333333333;0.5;-0.8333333333333333;-0.16666666666666652;1.0;0.5"
"('MCTS-UCB1Tuned-0.6-Random4' / 'MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-UCB1-0.6-Random4' / 'MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-UCB1GRAVE-0.6-NST' / 'MCTS-UCB1Tuned-0.1-MAST')","-0.16666666666666652;0.5;-0.8333333333333333;1.0;-0.16666666666666652;0.5;-0.8333333333333333"
"('MCTS-UCB1Tuned-0.1-MAST' / 'MCTS-UCB1-0.6-Random4' / 'MCTS-UCB1Tuned-0.6-Random4' / 'MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1GRAVE-0.6-NST' / 'MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-UCB1Tuned-1.41421356237-MAST')","0.0;1.0;0.5;-0.6666666666666665;-0.33333333333333326;-1.0;0.5"
"('MCTS-UCB1-0.6-Random4' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-UCB1Tuned-0.6-Random4' / 'MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1GRAVE-0.6-NST' / 'MCTS-UCB1Tuned-0.1-MAST')","0.6666666666666667;0.6666666666666667;0.6666666666666667;-0.33333333333333326;-0.33333333333333326;-0.33333333333333326;-1.0"
"('MCTS-UCB1-0.6-Random4' / 'MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1GRAVE-0.6-NST' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-UCB1Tuned-0.6-Random4' / 'MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-UCB1Tuned-0.1-MAST')","1.0;-0.5;0.5;-0.5;-0.5;-0.5;0.5"
"('MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-UCB1-0.6-Random4' / 'MCTS-UCB1Tuned-0.6-Random4' / 'MCTS-UCB1GRAVE-0.6-NST' / 'MCTS-UCB1Tuned-0.1-MAST' / 'MCTS-UCB1-1.41421356237-NST')","1.0;-0.16666666666666652;0.6666666666666667;-0.16666666666666652;-0.16666666666666652;-1.0;-0.16666666666666652"
"('MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1Tuned-0.1-MAST' / 'MCTS-UCB1GRAVE-0.6-NST' / 'MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-UCB1Tuned-0.6-Random4' / 'MCTS-UCB1-0.6-Random4')","-1.0;-0.16666666666666652;-0.16666666666666652;0.8333333333333334;0.8333333333333334;-0.16666666666666652;-0.16666666666666652"
"('MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-UCB1Tuned-0.1-MAST' / 'MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1Tuned-0.6-Random4' / 'MCTS-UCB1GRAVE-0.6-NST' / 'MCTS-UCB1-0.6-Random4')","-0.8333333333333333;0.6666666666666667;1.0;0.0;-0.33333333333333326;-0.8333333333333333;0.33333333333333337"
"('MCTS-UCB1Tuned-0.1-MAST' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-UCB1GRAVE-0.6-NST' / 'MCTS-UCB1-0.6-Random4' / 'MCTS-UCB1-1.41421356237-NST' / 'MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-UCB1Tuned-0.6-Random4')","-1.0;0.5;-0.5;-0.5;0.5;0.5;0.5"
"('MCTS-UCB1Tuned-0.6-Random4' / 'MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-UCB1Tuned-0.1-MAST' / 'MCTS-UCB1-0.6-Random4' / 'MCTS-UCB1GRAVE-0.6-NST' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-UCB1-1.41421356237-NST')","0.6666666666666667;1.0;0.16666666666666674;-1.0;-0.33333333333333326;0.16666666666666674;-0.6666666666666665"
"('MCTS-UCB1Tuned-0.1-MAST' / 'MCTS-UCB1-0.6-Random4' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-UCB1GRAVE-0.6-NST' / 'MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-UCB1Tuned-0.6-Random4' / 'MCTS-UCB1-1.41421356237-NST')","-0.6666666666666665;1.0;-0.33333333333333326;0.16666666666666674;0.16666666666666674;0.6666666666666667;-1.0"
"('MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-UCB1-0.6-Random4' / 'MCTS-UCB1GRAVE-0.6-NST' / 'MCTS-UCB1Tuned-0.1-MAST' / 'MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-UCB1Tuned-0.6-Random4')","-0.5;0.33333333333333337;1.0;0.33333333333333337;-0.5;-1.0;0.33333333333333337"
"('MCTS-UCB1GRAVE-0.6-NST' / 'MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-UCB1-0.6-Random4' / 'MCTS-UCB1Tuned-0.6-Random4' / 'MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-UCB1Tuned-0.1-MAST')","0.33333333333333337;-0.6666666666666665;0.0;-0.33333333333333326;-1.0;0.6666666666666667;1.0"
"('MCTS-UCB1GRAVE-0.6-NST' / 'MCTS-UCB1-0.6-Random4' / 'MCTS-UCB1Tuned-0.6-Random4' / 'MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1Tuned-0.1-MAST' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-ProgressiveHistory-0.6-Random200')","-1.0;-0.5;1.0;0.5;0.0;0.5;-0.5"
"('MCTS-UCB1Tuned-0.6-Random4' / 'MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1-0.6-Random4' / 'MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-UCB1GRAVE-0.6-NST' / 'MCTS-UCB1Tuned-0.1-MAST' / 'MCTS-UCB1Tuned-1.41421356237-MAST')","1.0;-0.16666666666666652;-1.0;-0.16666666666666652;0.5;-0.6666666666666665;0.5"
"('MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1-0.6-Random4' / 'MCTS-UCB1Tuned-0.1-MAST' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-UCB1GRAVE-0.6-NST' / 'MCTS-UCB1Tuned-0.6-Random4')","-0.6666666666666665;0.16666666666666674;1.0;-1.0;0.16666666666666674;-0.33333333333333326;0.6666666666666667"
"('MCTS-UCB1Tuned-0.1-MAST' / 'MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1Tuned-0.6-Random4' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-UCB1GRAVE-0.6-NST' / 'MCTS-UCB1-0.6-Random4')","-0.8333333333333333;0.33333333333333337;1.0;0.6666666666666667;-0.16666666666666652;-0.16666666666666652;-0.8333333333333333"
"('MCTS-UCB1Tuned-0.6-Random4' / 'MCTS-UCB1GRAVE-0.6-NST' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1Tuned-0.1-MAST' / 'MCTS-UCB1-0.6-Random4')","1.0;0.16666666666666674;-0.8333333333333333;0.16666666666666674;-0.8333333333333333;-0.33333333333333326;0.6666666666666667"
"('MCTS-UCB1Tuned-0.6-Random4' / 'MCTS-UCB1GRAVE-0.6-NST' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1Tuned-0.1-MAST' / 'MCTS-UCB1-0.6-Random4')","0.6666666666666667;0.33333333333333337;1.0;0.0;-0.6666666666666665;-1.0;-0.33333333333333326"
"('MCTS-UCB1-0.6-Random4' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1Tuned-0.6-Random4' / 'MCTS-UCB1GRAVE-0.6-NST' / 'MCTS-UCB1Tuned-0.1-MAST' / 'MCTS-ProgressiveHistory-0.6-Random200')","-0.8333333333333333;-0.8333333333333333;0.6666666666666667;1.0;0.33333333333333337;0.0;-0.33333333333333326"
"('MCTS-UCB1-0.6-Random4' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1Tuned-0.6-Random4' / 'MCTS-UCB1GRAVE-0.6-NST' / 'MCTS-UCB1Tuned-0.1-MAST' / 'MCTS-ProgressiveHistory-0.6-Random200')","-0.6666666666666665;-0.6666666666666665;0.16666666666666674;0.8333333333333334;-0.6666666666666665;0.16666666666666674;0.8333333333333334"
"('MCTS-UCB1-0.6-Random4' / 'MCTS-UCB1GRAVE-0.6-NST' / 'MCTS-UCB1Tuned-0.1-MAST' / 'MCTS-UCB1Tuned-0.6-Random4' / 'MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-UCB1-1.41421356237-NST')","-0.33333333333333326;-1.0;1.0;-0.33333333333333326;-0.33333333333333326;0.6666666666666667;0.33333333333333337"
"('MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-UCB1GRAVE-0.6-NST' / 'MCTS-UCB1-0.6-Random4' / 'MCTS-UCB1Tuned-0.6-Random4' / 'MCTS-UCB1Tuned-0.1-MAST' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-UCB1-1.41421356237-NST')","-0.6666666666666665;0.16666666666666674;-0.6666666666666665;1.0;0.16666666666666674;0.6666666666666667;-0.6666666666666665"
"('MCTS-UCB1-0.6-Random4' / 'MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1GRAVE-0.6-NST' / 'MCTS-UCB1Tuned-0.1-MAST' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-UCB1Tuned-0.6-Random4')","-0.8333333333333333;0.5;-0.16666666666666652;-0.8333333333333333;-0.16666666666666652;0.5;1.0"
"('MCTS-UCB1Tuned-0.6-Random4' / 'MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-UCB1-0.6-Random4' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1GRAVE-0.6-NST' / 'MCTS-UCB1Tuned-0.1-MAST')","-1.0;0.0;1.0;0.0;0.0;-0.6666666666666665;0.6666666666666667"
"('MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-UCB1Tuned-0.1-MAST' / 'MCTS-UCB1GRAVE-0.6-NST' / 'MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1Tuned-0.6-Random4' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-UCB1-0.6-Random4')","0.16666666666666674;-0.33333333333333326;-1.0;0.16666666666666674;0.8333333333333334;-0.6666666666666665;0.8333333333333334"
"('MCTS-UCB1-0.6-Random4' / 'MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1GRAVE-0.6-NST' / 'MCTS-UCB1Tuned-0.6-Random4' / 'MCTS-UCB1Tuned-0.1-MAST')","0.5;-1.0;-0.16666666666666652;1.0;-0.16666666666666652;0.5;-0.6666666666666665"
"('MCTS-UCB1-0.6-Random4' / 'MCTS-UCB1GRAVE-0.6-NST' / 'MCTS-UCB1Tuned-0.1-MAST' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-UCB1Tuned-0.6-Random4' / 'MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-UCB1-1.41421356237-NST')","0.0;-1.0;1.0;0.6666666666666667;-0.6666666666666665;-0.33333333333333326;0.33333333333333337"
"('MCTS-UCB1Tuned-0.1-MAST' / 'MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-UCB1GRAVE-0.6-NST' / 'MCTS-UCB1Tuned-0.6-Random4' / 'MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-UCB1-0.6-Random4')","-0.6666666666666665;-0.6666666666666665;-0.6666666666666665;0.16666666666666674;0.6666666666666667;0.16666666666666674;1.0"
"('MCTS-UCB1Tuned-0.6-Random4' / 'MCTS-UCB1Tuned-0.1-MAST' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-UCB1-0.6-Random4' / 'MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1GRAVE-0.6-NST' / 'MCTS-ProgressiveHistory-0.6-Random200')","0.0;-0.6666666666666665;-0.6666666666666665;0.5;-0.6666666666666665;0.5;1.0"
"('MCTS-UCB1Tuned-0.6-Random4' / 'MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1GRAVE-0.6-NST' / 'MCTS-UCB1-0.6-Random4' / 'MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-UCB1Tuned-0.1-MAST' / 'MCTS-UCB1Tuned-1.41421356237-MAST')","-0.8333333333333333;-0.16666666666666652;0.33333333333333337;1.0;0.6666666666666667;-0.16666666666666652;-0.8333333333333333"
"('MCTS-UCB1Tuned-0.6-Random4' / 'MCTS-UCB1GRAVE-0.6-NST' / 'MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-UCB1Tuned-0.1-MAST' / 'MCTS-UCB1-0.6-Random4' / 'MCTS-ProgressiveHistory-0.6-Random200')","0.5;0.5;-0.8333333333333333;-0.8333333333333333;0.5;0.5;-0.33333333333333326"
"('MCTS-UCB1GRAVE-0.6-NST' / 'MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1Tuned-0.6-Random4' / 'MCTS-UCB1Tuned-0.1-MAST' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-UCB1-0.6-Random4')","1.0;0.5;-1.0;-0.33333333333333326;-0.33333333333333326;-0.33333333333333326;0.5"
"('MCTS-UCB1GRAVE-0.6-NST' / 'MCTS-UCB1Tuned-0.1-MAST' / 'MCTS-UCB1-0.6-Random4' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1Tuned-0.6-Random4' / 'MCTS-ProgressiveHistory-0.6-Random200')","-0.33333333333333326;-0.8333333333333333;1.0;0.5;0.0;-0.8333333333333333;0.5"
"('MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1Tuned-0.6-Random4' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-UCB1GRAVE-0.6-NST' / 'MCTS-UCB1-0.6-Random4' / 'MCTS-UCB1Tuned-0.1-MAST')","-1.0;-0.16666666666666652;-0.16666666666666652;-0.16666666666666652;-0.16666666666666652;1.0;0.6666666666666667"
"('MCTS-UCB1-0.6-Random4' / 'MCTS-UCB1GRAVE-0.6-NST' / 'MCTS-UCB1Tuned-0.6-Random4' / 'MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-UCB1Tuned-0.1-MAST' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-UCB1-1.41421356237-NST')","0.6666666666666667;-0.5;1.0;0.0;0.33333333333333337;-1.0;-0.5"
"('MCTS-UCB1Tuned-0.1-MAST' / 'MCTS-UCB1GRAVE-0.6-NST' / 'MCTS-UCB1Tuned-0.6-Random4' / 'MCTS-UCB1-0.6-Random4' / 'MCTS-UCB1-1.41421356237-NST' / 'MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-UCB1Tuned-1.41421356237-MAST')","-0.8333333333333333;0.16666666666666674;1.0;0.6666666666666667;-0.33333333333333326;0.16666666666666674;-0.8333333333333333"
"('MCTS-UCB1-0.6-Random4' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1GRAVE-0.6-NST' / 'MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-UCB1Tuned-0.1-MAST' / 'MCTS-UCB1Tuned-0.6-Random4')","1.0;0.33333333333333337;0.6666666666666667;0.0;-0.5;-0.5;-1.0"
"('MCTS-UCB1-0.6-Random4' / 'MCTS-UCB1GRAVE-0.6-NST' / 'MCTS-UCB1Tuned-1.41421356237-MAST' / 'MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-UCB1Tuned-0.6-Random4' / 'MCTS-UCB1Tuned-0.1-MAST' / 'MCTS-UCB1-1.41421356237-NST')","-1.0;0.33333333333333337;0.33333333333333337;-0.5;-0.5;0.33333333333333337;1.0"
"('MCTS-ProgressiveHistory-0.6-Random200' / 'MCTS-UCB1-0.6-Random4' / 'MCTS-UCB1Tuned-0.6-Random4' / 'MCTS-UCB1-1.41421356237-NST' / 'MCTS-UCB1Tuned-0.1-MAST' / 'MCTS-UCB1GRAVE-0.6-NST' / 'MCTS-UCB1Tuned-1.41421356237-MAST')","-0.8333333333333333;0.16666666666666674;0.16666666666666674;-0.8333333333333333;1.0;-0.33333333333333326;0.6666666666666667"
