agents,utilities
"('Random' / 'MCTS-UCB1-0.1-MAST')","-1.0;1.0"
"('Random' / 'MCTS-UCB1-0.1-MAST')","-1.0;1.0"
"('Random' / 'MCTS-UCB1-0.1-MAST')","-1.0;1.0"
"('Random' / 'MCTS-UCB1-0.1-MAST')","-1.0;1.0"
"('Random' / 'MCTS-UCB1-0.1-MAST')","-1.0;1.0"
"('Random' / 'MCTS-UCB1-0.1-MAST')","-1.0;1.0"
"('Random' / 'MCTS-UCB1-0.1-MAST')","-1.0;1.0"
"('Random' / 'MCTS-UCB1-0.1-MAST')","-1.0;1.0"
"('Random' / 'MCTS-UCB1-0.1-MAST')","-1.0;1.0"
"('Random' / 'MCTS-UCB1-0.1-MAST')","-1.0;1.0"
"('MCTS-UCB1-0.1-MAST' / 'Random')","1.0;-1.0"
"('MCTS-UCB1-0.1-MAST' / 'Random')","1.0;-1.0"
"('MCTS-UCB1-0.1-MAST' / 'Random')","0.0;0.0"
"('MCTS-UCB1-0.1-MAST' / 'Random')","1.0;-1.0"
"('MCTS-UCB1-0.1-MAST' / 'Random')","1.0;-1.0"
"('MCTS-UCB1-0.1-MAST' / 'Random')","1.0;-1.0"
"('MCTS-UCB1-0.1-MAST' / 'Random')","1.0;-1.0"
"('MCTS-UCB1-0.1-MAST' / 'Random')","0.0;0.0"
"('MCTS-UCB1-0.1-MAST' / 'Random')","1.0;-1.0"
"('MCTS-UCB1-0.1-MAST' / 'Random')","0.0;0.0"
