agents,utilities
"('MCTS-ProgressiveHistory-1.41421356237-Random4' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random')","-0.857142857142857;0.1428571428571429;0.1428571428571429;0.1428571428571429;1.0;-0.857142857142857;0.1428571428571429;0.1428571428571429"
"('MCTS-ProgressiveHistory-1.41421356237-Random4' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random')","1.0;-0.7142857142857142;-0.7142857142857142;-0.1428571428571428;-0.7142857142857142;0.4285714285714286;0.7142857142857143;0.1428571428571429"
"('MCTS-ProgressiveHistory-1.41421356237-Random4' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random')","0.4285714285714286;0.7142857142857143;-0.1428571428571428;-0.4285714285714284;-0.7142857142857142;-1.0;1.0;0.1428571428571429"
"('MCTS-ProgressiveHistory-1.41421356237-Random4' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random')","0.2857142857142858;-0.4285714285714284;1.0;-0.7142857142857142;0.2857142857142858;0.2857142857142858;0.2857142857142858;-1.0"
"('MCTS-ProgressiveHistory-1.41421356237-Random4' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random')","-0.7142857142857142;-0.1428571428571428;0.1428571428571429;0.4285714285714286;-1.0;1.0;0.7142857142857143;-0.4285714285714284"
"('MCTS-ProgressiveHistory-1.41421356237-Random4' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random')","-0.1428571428571428;-1.0;0.1428571428571429;0.7142857142857143;-0.4285714285714284;-0.7142857142857142;0.4285714285714286;1.0"
"('MCTS-ProgressiveHistory-1.41421356237-Random4' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random')","-1.0;0.0;0.0;1.0;0.0;0.7142857142857143;-0.7142857142857142;0.0"
"('MCTS-ProgressiveHistory-1.41421356237-Random4' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random')","-0.2857142857142856;-1.0;0.5714285714285714;-0.7142857142857142;1.0;0.5714285714285714;-0.2857142857142856;0.1428571428571429"
"('MCTS-ProgressiveHistory-1.41421356237-Random4' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random')","0.7142857142857143;-0.4285714285714284;-0.4285714285714284;-0.4285714285714284;-0.4285714285714284;1.0;-0.4285714285714284;0.4285714285714286"
"('MCTS-ProgressiveHistory-1.41421356237-Random4' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random')","1.0;0.2857142857142858;0.7142857142857143;-0.1428571428571428;-1.0;-0.4285714285714284;-0.7142857142857142;0.2857142857142858"
"('MCTS-ProgressiveHistory-1.41421356237-Random4' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random')","1.0;-0.4285714285714284;-0.4285714285714284;0.4285714285714286;0.7142857142857143;-0.4285714285714284;-0.4285714285714284;-0.4285714285714284"
"('MCTS-ProgressiveHistory-1.41421356237-Random4' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random')","1.0;-0.1428571428571428;-0.4285714285714284;-1.0;-0.7142857142857142;0.7142857142857143;0.4285714285714286;0.1428571428571429"
"('MCTS-ProgressiveHistory-1.41421356237-Random4' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random')","1.0;0.2857142857142858;0.7142857142857143;0.2857142857142858;-0.1428571428571428;-1.0;-0.4285714285714284;-0.7142857142857142"
"('MCTS-ProgressiveHistory-1.41421356237-Random4' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random')","1.0;-0.7142857142857142;-0.1428571428571428;-0.4285714285714284;0.4285714285714286;-1.0;0.4285714285714286;0.4285714285714286"
"('Random' / 'Random' / 'Random' / 'Random' / 'MCTS-ProgressiveHistory-1.41421356237-Random4' / 'Random' / 'Random' / 'Random')","-1.0;-0.1428571428571428;0.4285714285714286;0.1428571428571429;0.7142857142857143;-0.7142857142857142;-0.4285714285714284;1.0"
"('Random' / 'Random' / 'Random' / 'Random' / 'MCTS-ProgressiveHistory-1.41421356237-Random4' / 'Random' / 'Random' / 'Random')","-0.1428571428571428;-0.4285714285714284;0.5714285714285714;-0.7142857142857142;-1.0;0.5714285714285714;0.1428571428571429;1.0"
"('Random' / 'Random' / 'Random' / 'Random' / 'MCTS-ProgressiveHistory-1.41421356237-Random4' / 'Random' / 'Random' / 'Random')","-0.4285714285714284;0.2857142857142858;-0.7142857142857142;1.0;-1.0;0.2857142857142858;0.7142857142857143;-0.1428571428571428"
"('Random' / 'Random' / 'Random' / 'Random' / 'MCTS-ProgressiveHistory-1.41421356237-Random4' / 'Random' / 'Random' / 'Random')","-0.7142857142857142;-1.0;-0.4285714285714284;1.0;0.2857142857142858;0.2857142857142858;0.2857142857142858;0.2857142857142858"
"('Random' / 'Random' / 'Random' / 'Random' / 'MCTS-ProgressiveHistory-1.41421356237-Random4' / 'Random' / 'Random' / 'Random')","-0.857142857142857;1.0;0.7142857142857143;0.1428571428571429;0.1428571428571429;-0.4285714285714284;-0.857142857142857;0.1428571428571429"
"('Random' / 'Random' / 'Random' / 'Random' / 'MCTS-ProgressiveHistory-1.41421356237-Random4' / 'Random' / 'Random' / 'Random')","-0.7142857142857142;-0.1428571428571428;-1.0;-0.4285714285714284;1.0;0.1428571428571429;0.4285714285714286;0.7142857142857143"
"('Random' / 'Random' / 'Random' / 'Random' / 'MCTS-ProgressiveHistory-1.41421356237-Random4' / 'Random' / 'Random' / 'Random')","0.4285714285714286;-0.7142857142857142;0.1428571428571429;1.0;-0.1428571428571428;0.7142857142857143;-0.4285714285714284;-1.0"
"('Random' / 'Random' / 'Random' / 'Random' / 'MCTS-ProgressiveHistory-1.41421356237-Random4' / 'Random' / 'Random' / 'Random')","-0.4285714285714284;-1.0;1.0;-0.1428571428571428;0.1428571428571429;0.4285714285714286;0.7142857142857143;-0.7142857142857142"
"('Random' / 'Random' / 'Random' / 'Random' / 'MCTS-ProgressiveHistory-1.41421356237-Random4' / 'Random' / 'Random' / 'Random')","1.0;-1.0;-0.4285714285714284;0.2857142857142858;0.2857142857142858;0.2857142857142858;-0.7142857142857142;0.2857142857142858"
"('Random' / 'Random' / 'Random' / 'Random' / 'MCTS-ProgressiveHistory-1.41421356237-Random4' / 'Random' / 'Random' / 'Random')","-1.0;-0.7142857142857142;-0.4285714285714284;-0.1428571428571428;0.4285714285714286;0.7142857142857143;0.1428571428571429;1.0"
"('Random' / 'Random' / 'Random' / 'Random' / 'MCTS-ProgressiveHistory-1.41421356237-Random4' / 'Random' / 'Random' / 'Random')","1.0;0.7142857142857143;0.4285714285714286;-0.5714285714285714;0.1428571428571429;-0.5714285714285714;-0.5714285714285714;-0.5714285714285714"
"('Random' / 'Random' / 'Random' / 'Random' / 'MCTS-ProgressiveHistory-1.41421356237-Random4' / 'Random' / 'Random' / 'Random')","1.0;-1.0;-0.4285714285714284;0.4285714285714286;-0.7142857142857142;0.4285714285714286;0.4285714285714286;-0.1428571428571428"
"('Random' / 'Random' / 'Random' / 'Random' / 'MCTS-ProgressiveHistory-1.41421356237-Random4' / 'Random' / 'Random' / 'Random')","0.1428571428571429;0.5714285714285714;-0.4285714285714284;-0.1428571428571428;-1.0;0.5714285714285714;-0.7142857142857142;1.0"
"('Random' / 'Random' / 'Random' / 'Random' / 'MCTS-ProgressiveHistory-1.41421356237-Random4' / 'Random' / 'Random' / 'Random')","-0.7142857142857142;-0.1428571428571428;0.4285714285714286;0.7142857142857143;1.0;-0.7142857142857142;0.1428571428571429;-0.7142857142857142"
"('Random' / 'Random' / 'Random' / 'Random' / 'MCTS-ProgressiveHistory-1.41421356237-Random4' / 'Random' / 'Random' / 'Random')","0.4285714285714286;1.0;-0.5714285714285714;-0.5714285714285714;-0.1428571428571428;-1.0;0.4285714285714286;0.4285714285714286"
