agents,utilities
"('MCTS-ProgressiveHistory-0.6-NST' / 'MCTS-UCB1GRAVE-1.41421356237-NST' / 'MCTS-UCB1GRAVE-0.1-MAST' / 'MCTS-ProgressiveHistory-0.1-Random200')","0.6666666666666667;0.6666666666666667;-0.33333333333333326;-1.0"
"('MCTS-UCB1GRAVE-0.1-MAST' / 'MCTS-ProgressiveHistory-0.6-NST' / 'MCTS-ProgressiveHistory-0.1-Random200' / 'MCTS-UCB1GRAVE-1.41421356237-NST')","-1.0;-0.33333333333333326;0.6666666666666667;0.6666666666666667"
"('MCTS-UCB1GRAVE-0.1-MAST' / 'MCTS-UCB1GRAVE-1.41421356237-NST' / 'MCTS-ProgressiveHistory-0.6-NST' / 'MCTS-ProgressiveHistory-0.1-Random200')","0.33333333333333337;0.33333333333333337;-1.0;0.33333333333333337"
"('MCTS-ProgressiveHistory-0.6-NST' / 'MCTS-ProgressiveHistory-0.1-Random200' / 'MCTS-UCB1GRAVE-1.41421356237-NST' / 'MCTS-UCB1GRAVE-0.1-MAST')","-1.0;0.6666666666666667;-0.33333333333333326;0.6666666666666667"
"('MCTS-UCB1GRAVE-1.41421356237-NST' / 'MCTS-UCB1GRAVE-0.1-MAST' / 'MCTS-ProgressiveHistory-0.6-NST' / 'MCTS-ProgressiveHistory-0.1-Random200')","0.0;0.0;0.0;0.0"
"('MCTS-UCB1GRAVE-1.41421356237-NST' / 'MCTS-ProgressiveHistory-0.1-Random200' / 'MCTS-UCB1GRAVE-0.1-MAST' / 'MCTS-ProgressiveHistory-0.6-NST')","-0.33333333333333326;-1.0;0.6666666666666667;0.6666666666666667"
"('MCTS-ProgressiveHistory-0.1-Random200' / 'MCTS-UCB1GRAVE-0.1-MAST' / 'MCTS-UCB1GRAVE-1.41421356237-NST' / 'MCTS-ProgressiveHistory-0.6-NST')","-1.0;-0.33333333333333326;0.6666666666666667;0.6666666666666667"
"('MCTS-UCB1GRAVE-0.1-MAST' / 'MCTS-ProgressiveHistory-0.1-Random200' / 'MCTS-ProgressiveHistory-0.6-NST' / 'MCTS-UCB1GRAVE-1.41421356237-NST')","0.33333333333333337;-1.0;0.33333333333333337;0.33333333333333337"
"('MCTS-ProgressiveHistory-0.1-Random200' / 'MCTS-ProgressiveHistory-0.6-NST' / 'MCTS-UCB1GRAVE-1.41421356237-NST' / 'MCTS-UCB1GRAVE-0.1-MAST')","-1.0;0.6666666666666667;-0.33333333333333326;0.6666666666666667"
"('MCTS-ProgressiveHistory-0.1-Random200' / 'MCTS-UCB1GRAVE-1.41421356237-NST' / 'MCTS-ProgressiveHistory-0.6-NST' / 'MCTS-UCB1GRAVE-0.1-MAST')","1.0;-0.33333333333333326;-1.0;0.33333333333333337"
"('MCTS-ProgressiveHistory-0.1-Random200' / 'MCTS-UCB1GRAVE-0.1-MAST' / 'MCTS-ProgressiveHistory-0.6-NST' / 'MCTS-UCB1GRAVE-1.41421356237-NST')","-1.0;0.6666666666666667;0.6666666666666667;-0.33333333333333326"
"('MCTS-ProgressiveHistory-0.1-Random200' / 'MCTS-UCB1GRAVE-1.41421356237-NST' / 'MCTS-UCB1GRAVE-0.1-MAST' / 'MCTS-ProgressiveHistory-0.6-NST')","0.6666666666666667;-0.33333333333333326;-1.0;0.6666666666666667"
"('MCTS-UCB1GRAVE-1.41421356237-NST' / 'MCTS-ProgressiveHistory-0.6-NST' / 'MCTS-UCB1GRAVE-0.1-MAST' / 'MCTS-ProgressiveHistory-0.1-Random200')","-0.33333333333333326;-1.0;0.6666666666666667;0.6666666666666667"
"('MCTS-UCB1GRAVE-0.1-MAST' / 'MCTS-UCB1GRAVE-1.41421356237-NST' / 'MCTS-ProgressiveHistory-0.1-Random200' / 'MCTS-ProgressiveHistory-0.6-NST')","0.6666666666666667;0.6666666666666667;-1.0;-0.33333333333333326"
"('MCTS-UCB1GRAVE-0.1-MAST' / 'MCTS-ProgressiveHistory-0.1-Random200' / 'MCTS-UCB1GRAVE-1.41421356237-NST' / 'MCTS-ProgressiveHistory-0.6-NST')","-0.33333333333333326;-1.0;0.6666666666666667;0.6666666666666667"
"('MCTS-ProgressiveHistory-0.6-NST' / 'MCTS-UCB1GRAVE-1.41421356237-NST' / 'MCTS-ProgressiveHistory-0.1-Random200' / 'MCTS-UCB1GRAVE-0.1-MAST')","0.6666666666666667;-0.33333333333333326;-1.0;0.6666666666666667"
"('MCTS-UCB1GRAVE-1.41421356237-NST' / 'MCTS-ProgressiveHistory-0.6-NST' / 'MCTS-ProgressiveHistory-0.1-Random200' / 'MCTS-UCB1GRAVE-0.1-MAST')","-0.33333333333333326;-1.0;0.6666666666666667;0.6666666666666667"
"('MCTS-ProgressiveHistory-0.6-NST' / 'MCTS-UCB1GRAVE-0.1-MAST' / 'MCTS-UCB1GRAVE-1.41421356237-NST' / 'MCTS-ProgressiveHistory-0.1-Random200')","0.33333333333333337;0.33333333333333337;0.33333333333333337;-1.0"
