agents,utilities
"('Random' / 'MCTS-UCB1GRAVE-0.1-Random4' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random')","0.6666666666666667;1.0;0.33333333333333337;-0.33333333333333326;-1.0;-0.6666666666666665;0.0"
"('Random' / 'MCTS-UCB1GRAVE-0.1-Random4' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random')","0.33333333333333337;-1.0;-0.33333333333333326;-0.6666666666666665;0.0;1.0;0.6666666666666667"
"('Random' / 'MCTS-UCB1GRAVE-0.1-Random4' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random')","0.0;1.0;-0.33333333333333326;-0.6666666666666665;0.6666666666666667;-1.0;0.33333333333333337"
"('Random' / 'MCTS-UCB1GRAVE-0.1-Random4' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random')","1.0;-1.0;0.33333333333333337;0.6666666666666667;0.0;-0.6666666666666665;-0.33333333333333326"
"('Random' / 'MCTS-UCB1GRAVE-0.1-Random4' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random')","0.33333333333333337;-0.33333333333333326;-1.0;0.0;0.6666666666666667;-0.6666666666666665;1.0"
"('Random' / 'MCTS-UCB1GRAVE-0.1-Random4' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random')","-0.6666666666666665;0.6666666666666667;-1.0;0.0;-0.33333333333333326;1.0;0.33333333333333337"
"('Random' / 'MCTS-UCB1GRAVE-0.1-Random4' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random')","0.6666666666666667;0.33333333333333337;-0.6666666666666665;-0.33333333333333326;1.0;-1.0;0.0"
"('Random' / 'MCTS-UCB1GRAVE-0.1-Random4' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random')","0.6666666666666667;-0.33333333333333326;-0.6666666666666665;-1.0;1.0;0.0;0.33333333333333337"
"('Random' / 'MCTS-UCB1GRAVE-0.1-Random4' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random')","-0.33333333333333326;0.6666666666666667;0.33333333333333337;1.0;-1.0;-0.6666666666666665;0.0"
"('Random' / 'MCTS-UCB1GRAVE-0.1-Random4' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random')","-1.0;0.6666666666666667;-0.6666666666666665;0.33333333333333337;-0.33333333333333326;1.0;0.0"
"('Random' / 'MCTS-UCB1GRAVE-0.1-Random4' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random')","1.0;0.0;-1.0;0.33333333333333337;-0.33333333333333326;-0.6666666666666665;0.6666666666666667"
"('Random' / 'MCTS-UCB1GRAVE-0.1-Random4' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random')","0.0;1.0;-1.0;0.33333333333333337;0.6666666666666667;-0.6666666666666665;-0.33333333333333326"
"('Random' / 'MCTS-UCB1GRAVE-0.1-Random4' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random')","0.33333333333333337;0.0;-0.6666666666666665;1.0;-1.0;-0.33333333333333326;0.6666666666666667"
"('Random' / 'MCTS-UCB1GRAVE-0.1-Random4' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random')","-0.6666666666666665;1.0;0.0;-1.0;0.33333333333333337;0.6666666666666667;-0.33333333333333326"
"('Random' / 'MCTS-UCB1GRAVE-0.1-Random4' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random')","0.33333333333333337;1.0;-0.33333333333333326;0.0;-1.0;-0.6666666666666665;0.6666666666666667"
"('Random' / 'Random' / 'Random' / 'MCTS-UCB1GRAVE-0.1-Random4' / 'Random' / 'Random' / 'Random')","-0.33333333333333326;1.0;-1.0;0.6666666666666667;0.33333333333333337;-0.6666666666666665;0.0"
"('Random' / 'Random' / 'Random' / 'MCTS-UCB1GRAVE-0.1-Random4' / 'Random' / 'Random' / 'Random')","1.0;-0.33333333333333326;0.6666666666666667;-1.0;0.0;-0.6666666666666665;0.33333333333333337"
"('Random' / 'Random' / 'Random' / 'MCTS-UCB1GRAVE-0.1-Random4' / 'Random' / 'Random' / 'Random')","1.0;-1.0;-0.6666666666666665;0.0;0.33333333333333337;-0.33333333333333326;0.6666666666666667"
"('Random' / 'Random' / 'Random' / 'MCTS-UCB1GRAVE-0.1-Random4' / 'Random' / 'Random' / 'Random')","-0.6666666666666665;0.0;1.0;-0.33333333333333326;0.6666666666666667;-1.0;0.33333333333333337"
"('Random' / 'Random' / 'Random' / 'MCTS-UCB1GRAVE-0.1-Random4' / 'Random' / 'Random' / 'Random')","0.6666666666666667;0.33333333333333337;-0.6666666666666665;1.0;-1.0;0.0;-0.33333333333333326"
"('Random' / 'Random' / 'Random' / 'MCTS-UCB1GRAVE-0.1-Random4' / 'Random' / 'Random' / 'Random')","0.6666666666666667;-0.33333333333333326;0.0;1.0;-0.6666666666666665;-1.0;0.33333333333333337"
"('Random' / 'Random' / 'Random' / 'MCTS-UCB1GRAVE-0.1-Random4' / 'Random' / 'Random' / 'Random')","0.0;1.0;-1.0;0.33333333333333337;-0.6666666666666665;0.6666666666666667;-0.33333333333333326"
"('Random' / 'Random' / 'Random' / 'MCTS-UCB1GRAVE-0.1-Random4' / 'Random' / 'Random' / 'Random')","-1.0;1.0;-0.6666666666666665;0.6666666666666667;0.0;-0.33333333333333326;0.33333333333333337"
"('Random' / 'Random' / 'Random' / 'MCTS-UCB1GRAVE-0.1-Random4' / 'Random' / 'Random' / 'Random')","-0.33333333333333326;-1.0;1.0;-0.6666666666666665;0.33333333333333337;0.0;0.6666666666666667"
"('Random' / 'Random' / 'Random' / 'MCTS-UCB1GRAVE-0.1-Random4' / 'Random' / 'Random' / 'Random')","0.33333333333333337;0.0;0.6666666666666667;1.0;-1.0;-0.6666666666666665;-0.33333333333333326"
"('Random' / 'Random' / 'Random' / 'MCTS-UCB1GRAVE-0.1-Random4' / 'Random' / 'Random' / 'Random')","-0.33333333333333326;-1.0;0.0;0.6666666666666667;1.0;0.33333333333333337;-0.6666666666666665"
"('Random' / 'Random' / 'Random' / 'MCTS-UCB1GRAVE-0.1-Random4' / 'Random' / 'Random' / 'Random')","-0.6666666666666665;0.33333333333333337;0.6666666666666667;-1.0;0.0;-0.33333333333333326;1.0"
"('Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'MCTS-UCB1GRAVE-0.1-Random4' / 'Random')","0.0;0.33333333333333337;0.6666666666666667;-0.6666666666666665;-1.0;1.0;-0.33333333333333326"
"('Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'MCTS-UCB1GRAVE-0.1-Random4' / 'Random')","-1.0;1.0;0.0;-0.6666666666666665;0.33333333333333337;-0.33333333333333326;0.6666666666666667"
"('Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'MCTS-UCB1GRAVE-0.1-Random4' / 'Random')","-1.0;0.0;0.33333333333333337;-0.6666666666666665;-0.33333333333333326;1.0;0.6666666666666667"
"('Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'MCTS-UCB1GRAVE-0.1-Random4' / 'Random')","0.33333333333333337;0.0;-1.0;0.6666666666666667;1.0;-0.33333333333333326;-0.6666666666666665"
"('Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'MCTS-UCB1GRAVE-0.1-Random4' / 'Random')","0.33333333333333337;0.0;0.6666666666666667;-0.33333333333333326;-1.0;-0.6666666666666665;1.0"
"('Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'MCTS-UCB1GRAVE-0.1-Random4' / 'Random')","1.0;0.6666666666666667;-1.0;-0.33333333333333326;0.0;-0.6666666666666665;0.33333333333333337"
"('MCTS-UCB1GRAVE-0.1-Random4' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random')","0.33333333333333337;-0.33333333333333326;-1.0;-0.6666666666666665;0.6666666666666667;0.0;1.0"
"('MCTS-UCB1GRAVE-0.1-Random4' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random')","0.33333333333333337;1.0;-1.0;0.0;0.6666666666666667;-0.33333333333333326;-0.6666666666666665"
"('MCTS-UCB1GRAVE-0.1-Random4' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random')","-0.6666666666666665;0.33333333333333337;-1.0;-0.33333333333333326;0.6666666666666667;1.0;0.0"
"('MCTS-UCB1GRAVE-0.1-Random4' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random')","1.0;0.33333333333333337;-1.0;-0.6666666666666665;0.0;0.6666666666666667;-0.33333333333333326"
"('MCTS-UCB1GRAVE-0.1-Random4' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random')","-1.0;-0.6666666666666665;0.0;0.6666666666666667;0.33333333333333337;1.0;-0.33333333333333326"
"('MCTS-UCB1GRAVE-0.1-Random4' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random')","1.0;-0.33333333333333326;0.6666666666666667;-1.0;0.0;-0.6666666666666665;0.33333333333333337"
"('MCTS-UCB1GRAVE-0.1-Random4' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random')","-0.33333333333333326;0.6666666666666667;1.0;0.33333333333333337;0.0;-0.6666666666666665;-1.0"
"('MCTS-UCB1GRAVE-0.1-Random4' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random')","-1.0;0.33333333333333337;1.0;0.6666666666666667;-0.33333333333333326;-0.6666666666666665;0.0"
"('MCTS-UCB1GRAVE-0.1-Random4' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random')","0.6666666666666667;-0.6666666666666665;1.0;-1.0;0.0;0.33333333333333337;-0.33333333333333326"
"('MCTS-UCB1GRAVE-0.1-Random4' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random')","1.0;0.0;-1.0;-0.6666666666666665;0.6666666666666667;0.33333333333333337;-0.33333333333333326"
"('MCTS-UCB1GRAVE-0.1-Random4' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random')","-0.6666666666666665;1.0;-0.33333333333333326;0.0;-1.0;0.6666666666666667;0.33333333333333337"
"('MCTS-UCB1GRAVE-0.1-Random4' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random')","1.0;-0.6666666666666665;-1.0;0.0;0.33333333333333337;-0.33333333333333326;0.6666666666666667"
"('MCTS-UCB1GRAVE-0.1-Random4' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random')","1.0;-0.33333333333333326;-1.0;-0.6666666666666665;0.33333333333333337;0.6666666666666667;0.0"
