agents,utilities
"('MCTS-UCB1Tuned-1.41421356237-Random4' / 'MCTS-UCB1-0.1-Random0' / 'MCTS-UCB1GRAVE-0.6-Random200' / 'MCTS-UCB1Tuned-1.41421356237-Random0')","1.0;0.33333333333333337;-0.33333333333333326;-1.0"
"('MCTS-UCB1Tuned-1.41421356237-Random4' / 'MCTS-UCB1-0.1-Random0' / 'MCTS-UCB1GRAVE-0.6-Random200' / 'MCTS-UCB1Tuned-1.41421356237-Random0')","1.0;-1.0;0.0;0.0"
"('MCTS-UCB1Tuned-1.41421356237-Random0' / 'MCTS-UCB1Tuned-1.41421356237-Random4' / 'MCTS-UCB1GRAVE-0.6-Random200' / 'MCTS-UCB1-0.1-Random0')","0.33333333333333337;1.0;-0.6666666666666665;-0.6666666666666665"
"('MCTS-UCB1Tuned-1.41421356237-Random0' / 'MCTS-UCB1Tuned-1.41421356237-Random4' / 'MCTS-UCB1GRAVE-0.6-Random200' / 'MCTS-UCB1-0.1-Random0')","0.33333333333333337;1.0;-0.6666666666666665;-0.6666666666666665"
"('MCTS-UCB1Tuned-1.41421356237-Random0' / 'MCTS-UCB1GRAVE-0.6-Random200' / 'MCTS-UCB1Tuned-1.41421356237-Random4' / 'MCTS-UCB1-0.1-Random0')","0.33333333333333337;-0.33333333333333326;1.0;-1.0"
"('MCTS-UCB1Tuned-1.41421356237-Random0' / 'MCTS-UCB1-0.1-Random0' / 'MCTS-UCB1GRAVE-0.6-Random200' / 'MCTS-UCB1Tuned-1.41421356237-Random4')","0.33333333333333337;-0.33333333333333326;1.0;-1.0"
"('MCTS-UCB1Tuned-1.41421356237-Random0' / 'MCTS-UCB1-0.1-Random0' / 'MCTS-UCB1GRAVE-0.6-Random200' / 'MCTS-UCB1Tuned-1.41421356237-Random4')","0.33333333333333337;-0.33333333333333326;1.0;-1.0"
"('MCTS-UCB1-0.1-Random0' / 'MCTS-UCB1Tuned-1.41421356237-Random4' / 'MCTS-UCB1Tuned-1.41421356237-Random0' / 'MCTS-UCB1GRAVE-0.6-Random200')","-0.33333333333333326;0.33333333333333337;1.0;-1.0"
"('MCTS-UCB1-0.1-Random0' / 'MCTS-UCB1Tuned-1.41421356237-Random4' / 'MCTS-UCB1Tuned-1.41421356237-Random0' / 'MCTS-UCB1GRAVE-0.6-Random200')","-0.33333333333333326;0.33333333333333337;1.0;-1.0"
"('MCTS-UCB1Tuned-1.41421356237-Random0' / 'MCTS-UCB1Tuned-1.41421356237-Random4' / 'MCTS-UCB1-0.1-Random0' / 'MCTS-UCB1GRAVE-0.6-Random200')","0.33333333333333337;1.0;-0.6666666666666665;-0.6666666666666665"
"('MCTS-UCB1Tuned-1.41421356237-Random0' / 'MCTS-UCB1Tuned-1.41421356237-Random4' / 'MCTS-UCB1-0.1-Random0' / 'MCTS-UCB1GRAVE-0.6-Random200')","0.0;0.0;-1.0;1.0"
"('MCTS-UCB1Tuned-1.41421356237-Random4' / 'MCTS-UCB1GRAVE-0.6-Random200' / 'MCTS-UCB1Tuned-1.41421356237-Random0' / 'MCTS-UCB1-0.1-Random0')","0.0;1.0;0.0;-1.0"
"('MCTS-UCB1Tuned-1.41421356237-Random4' / 'MCTS-UCB1GRAVE-0.6-Random200' / 'MCTS-UCB1-0.1-Random0' / 'MCTS-UCB1Tuned-1.41421356237-Random0')","-1.0;1.0;0.0;0.0"
"('MCTS-UCB1Tuned-1.41421356237-Random4' / 'MCTS-UCB1GRAVE-0.6-Random200' / 'MCTS-UCB1-0.1-Random0' / 'MCTS-UCB1Tuned-1.41421356237-Random0')","0.33333333333333337;1.0;-0.6666666666666665;-0.6666666666666665"
"('MCTS-UCB1-0.1-Random0' / 'MCTS-UCB1GRAVE-0.6-Random200' / 'MCTS-UCB1Tuned-1.41421356237-Random4' / 'MCTS-UCB1Tuned-1.41421356237-Random0')","0.33333333333333337;-0.33333333333333326;1.0;-1.0"
"('MCTS-UCB1-0.1-Random0' / 'MCTS-UCB1GRAVE-0.6-Random200' / 'MCTS-UCB1Tuned-1.41421356237-Random4' / 'MCTS-UCB1Tuned-1.41421356237-Random0')","0.33333333333333337;-0.33333333333333326;1.0;-1.0"
"('MCTS-UCB1GRAVE-0.6-Random200' / 'MCTS-UCB1Tuned-1.41421356237-Random0' / 'MCTS-UCB1Tuned-1.41421356237-Random4' / 'MCTS-UCB1-0.1-Random0')","1.0;0.33333333333333337;-0.6666666666666665;-0.6666666666666665"
"('MCTS-UCB1GRAVE-0.6-Random200' / 'MCTS-UCB1Tuned-1.41421356237-Random0' / 'MCTS-UCB1Tuned-1.41421356237-Random4' / 'MCTS-UCB1-0.1-Random0')","0.33333333333333337;1.0;-0.6666666666666665;-0.6666666666666665"
"('MCTS-UCB1GRAVE-0.6-Random200' / 'MCTS-UCB1-0.1-Random0' / 'MCTS-UCB1Tuned-1.41421356237-Random4' / 'MCTS-UCB1Tuned-1.41421356237-Random0')","1.0;0.0;0.0;-1.0"
