agents,utilities
"('MCTS-UCB1-1.41421356237-Random4' / 'MCTS-UCB1Tuned-1.41421356237-NST' / 'MCTS-UCB1Tuned-0.1-MAST')","-1.0;0.0;1.0"
"('MCTS-UCB1-1.41421356237-Random4' / 'MCTS-UCB1Tuned-1.41421356237-NST' / 'MCTS-UCB1Tuned-0.1-MAST')","-0.5;1.0;-0.5"
"('MCTS-UCB1-1.41421356237-Random4' / 'MCTS-UCB1Tuned-1.41421356237-NST' / 'MCTS-UCB1Tuned-0.1-MAST')","1.0;-1.0;0.0"
"('MCTS-UCB1-1.41421356237-Random4' / 'MCTS-UCB1Tuned-1.41421356237-NST' / 'MCTS-UCB1Tuned-0.1-MAST')","-1.0;1.0;0.0"
"('MCTS-UCB1-1.41421356237-Random4' / 'MCTS-UCB1Tuned-1.41421356237-NST' / 'MCTS-UCB1Tuned-0.1-MAST')","0.0;-1.0;1.0"
"('MCTS-UCB1Tuned-0.1-MAST' / 'MCTS-UCB1Tuned-1.41421356237-NST' / 'MCTS-UCB1-1.41421356237-Random4')","-1.0;1.0;0.0"
"('MCTS-UCB1Tuned-0.1-MAST' / 'MCTS-UCB1Tuned-1.41421356237-NST' / 'MCTS-UCB1-1.41421356237-Random4')","0.0;1.0;-1.0"
"('MCTS-UCB1Tuned-0.1-MAST' / 'MCTS-UCB1Tuned-1.41421356237-NST' / 'MCTS-UCB1-1.41421356237-Random4')","0.5;0.5;-1.0"
"('MCTS-UCB1Tuned-0.1-MAST' / 'MCTS-UCB1Tuned-1.41421356237-NST' / 'MCTS-UCB1-1.41421356237-Random4')","1.0;0.0;-1.0"
"('MCTS-UCB1Tuned-0.1-MAST' / 'MCTS-UCB1Tuned-1.41421356237-NST' / 'MCTS-UCB1-1.41421356237-Random4')","0.0;1.0;-1.0"
"('MCTS-UCB1Tuned-1.41421356237-NST' / 'MCTS-UCB1-1.41421356237-Random4' / 'MCTS-UCB1Tuned-0.1-MAST')","1.0;-1.0;0.0"
"('MCTS-UCB1Tuned-1.41421356237-NST' / 'MCTS-UCB1-1.41421356237-Random4' / 'MCTS-UCB1Tuned-0.1-MAST')","0.5;-1.0;0.5"
"('MCTS-UCB1Tuned-1.41421356237-NST' / 'MCTS-UCB1-1.41421356237-Random4' / 'MCTS-UCB1Tuned-0.1-MAST')","1.0;-1.0;0.0"
"('MCTS-UCB1Tuned-1.41421356237-NST' / 'MCTS-UCB1-1.41421356237-Random4' / 'MCTS-UCB1Tuned-0.1-MAST')","-1.0;0.0;1.0"
"('MCTS-UCB1Tuned-1.41421356237-NST' / 'MCTS-UCB1-1.41421356237-Random4' / 'MCTS-UCB1Tuned-0.1-MAST')","0.0;-1.0;1.0"
"('MCTS-UCB1Tuned-0.1-MAST' / 'MCTS-UCB1-1.41421356237-Random4' / 'MCTS-UCB1Tuned-1.41421356237-NST')","0.0;-1.0;1.0"
"('MCTS-UCB1Tuned-0.1-MAST' / 'MCTS-UCB1-1.41421356237-Random4' / 'MCTS-UCB1Tuned-1.41421356237-NST')","0.0;-1.0;1.0"
"('MCTS-UCB1Tuned-0.1-MAST' / 'MCTS-UCB1-1.41421356237-Random4' / 'MCTS-UCB1Tuned-1.41421356237-NST')","0.0;-1.0;1.0"
"('MCTS-UCB1Tuned-0.1-MAST' / 'MCTS-UCB1-1.41421356237-Random4' / 'MCTS-UCB1Tuned-1.41421356237-NST')","1.0;-0.5;-0.5"
"('MCTS-UCB1Tuned-0.1-MAST' / 'MCTS-UCB1-1.41421356237-Random4' / 'MCTS-UCB1Tuned-1.41421356237-NST')","1.0;0.0;-1.0"
"('MCTS-UCB1-1.41421356237-Random4' / 'MCTS-UCB1Tuned-0.1-MAST' / 'MCTS-UCB1Tuned-1.41421356237-NST')","-1.0;1.0;0.0"
"('MCTS-UCB1-1.41421356237-Random4' / 'MCTS-UCB1Tuned-0.1-MAST' / 'MCTS-UCB1Tuned-1.41421356237-NST')","-1.0;0.0;1.0"
"('MCTS-UCB1-1.41421356237-Random4' / 'MCTS-UCB1Tuned-0.1-MAST' / 'MCTS-UCB1Tuned-1.41421356237-NST')","-1.0;1.0;0.0"
"('MCTS-UCB1-1.41421356237-Random4' / 'MCTS-UCB1Tuned-0.1-MAST' / 'MCTS-UCB1Tuned-1.41421356237-NST')","0.0;1.0;-1.0"
"('MCTS-UCB1-1.41421356237-Random4' / 'MCTS-UCB1Tuned-0.1-MAST' / 'MCTS-UCB1Tuned-1.41421356237-NST')","1.0;-1.0;0.0"
"('MCTS-UCB1Tuned-1.41421356237-NST' / 'MCTS-UCB1Tuned-0.1-MAST' / 'MCTS-UCB1-1.41421356237-Random4')","1.0;0.0;-1.0"
"('MCTS-UCB1Tuned-1.41421356237-NST' / 'MCTS-UCB1Tuned-0.1-MAST' / 'MCTS-UCB1-1.41421356237-Random4')","0.0;1.0;-1.0"
"('MCTS-UCB1Tuned-1.41421356237-NST' / 'MCTS-UCB1Tuned-0.1-MAST' / 'MCTS-UCB1-1.41421356237-Random4')","1.0;0.0;-1.0"
"('MCTS-UCB1Tuned-1.41421356237-NST' / 'MCTS-UCB1Tuned-0.1-MAST' / 'MCTS-UCB1-1.41421356237-Random4')","0.0;1.0;-1.0"
"('MCTS-UCB1Tuned-1.41421356237-NST' / 'MCTS-UCB1Tuned-0.1-MAST' / 'MCTS-UCB1-1.41421356237-Random4')","0.0;1.0;-1.0"
