agents,utilities
"('Random' / 'Random' / 'MCTS-ProgressiveHistory-1.41421356237-NST' / 'Random' / 'Random')","0.5;-0.5;1.0;-0.5;-0.5"
"('Random' / 'Random' / 'MCTS-ProgressiveHistory-1.41421356237-NST' / 'Random' / 'Random')","0.5;-0.75;1.0;-0.75;0.0"
"('Random' / 'Random' / 'MCTS-ProgressiveHistory-1.41421356237-NST' / 'Random' / 'Random')","0.5;0.0;1.0;-0.5;-1.0"
"('Random' / 'Random' / 'MCTS-ProgressiveHistory-1.41421356237-NST' / 'Random' / 'Random')","0.0;-0.75;1.0;0.5;-0.75"
"('Random' / 'Random' / 'MCTS-ProgressiveHistory-1.41421356237-NST' / 'Random' / 'Random')","-0.5;-1.0;0.5;1.0;0.0"
"('Random' / 'Random' / 'MCTS-ProgressiveHistory-1.41421356237-NST' / 'Random' / 'Random')","0.5;-0.75;1.0;0.0;-0.75"
"('Random' / 'Random' / 'MCTS-ProgressiveHistory-1.41421356237-NST' / 'Random' / 'Random')","-0.75;1.0;0.5;-0.75;0.0"
"('Random' / 'Random' / 'MCTS-ProgressiveHistory-1.41421356237-NST' / 'Random' / 'Random')","-1.0;-0.5;1.0;0.5;0.0"
"('Random' / 'MCTS-ProgressiveHistory-1.41421356237-NST' / 'Random' / 'Random' / 'Random')","0.0;1.0;0.5;-1.0;-0.5"
"('Random' / 'MCTS-ProgressiveHistory-1.41421356237-NST' / 'Random' / 'Random' / 'Random')","-0.75;1.0;-0.75;0.0;0.5"
"('Random' / 'MCTS-ProgressiveHistory-1.41421356237-NST' / 'Random' / 'Random' / 'Random')","0.0;1.0;-1.0;-0.5;0.5"
"('Random' / 'MCTS-ProgressiveHistory-1.41421356237-NST' / 'Random' / 'Random' / 'Random')","0.0;1.0;-0.75;-0.75;0.5"
"('Random' / 'MCTS-ProgressiveHistory-1.41421356237-NST' / 'Random' / 'Random' / 'Random')","0.0;1.0;0.5;-0.5;-1.0"
"('Random' / 'MCTS-ProgressiveHistory-1.41421356237-NST' / 'Random' / 'Random' / 'Random')","-0.75;1.0;0.0;0.5;-0.75"
"('Random' / 'MCTS-ProgressiveHistory-1.41421356237-NST' / 'Random' / 'Random' / 'Random')","0.5;1.0;-1.0;0.0;-0.5"
"('MCTS-ProgressiveHistory-1.41421356237-NST' / 'Random' / 'Random' / 'Random' / 'Random')","1.0;-0.5;0.5;-1.0;0.0"
"('MCTS-ProgressiveHistory-1.41421356237-NST' / 'Random' / 'Random' / 'Random' / 'Random')","1.0;0.5;-1.0;0.0;-0.5"
"('MCTS-ProgressiveHistory-1.41421356237-NST' / 'Random' / 'Random' / 'Random' / 'Random')","1.0;0.5;-0.75;-0.75;0.0"
"('MCTS-ProgressiveHistory-1.41421356237-NST' / 'Random' / 'Random' / 'Random' / 'Random')","1.0;0.0;0.5;-0.5;-1.0"
"('MCTS-ProgressiveHistory-1.41421356237-NST' / 'Random' / 'Random' / 'Random' / 'Random')","1.0;0.0;-1.0;-0.5;0.5"
"('MCTS-ProgressiveHistory-1.41421356237-NST' / 'Random' / 'Random' / 'Random' / 'Random')","1.0;-0.5;-0.5;0.5;-0.5"
"('MCTS-ProgressiveHistory-1.41421356237-NST' / 'Random' / 'Random' / 'Random' / 'Random')","1.0;-0.5;0.5;0.0;-1.0"
