agents,utilities
"('MCTS-UCB1-0.6-NST' / 'Random' / 'Random')","1.0;-1.0;0.0"
"('MCTS-UCB1-0.6-NST' / 'Random' / 'Random')","1.0;0.0;-1.0"
"('MCTS-UCB1-0.6-NST' / 'Random' / 'Random')","1.0;-1.0;0.0"
"('MCTS-UCB1-0.6-NST' / 'Random' / 'Random')","1.0;-1.0;0.0"
"('MCTS-UCB1-0.6-NST' / 'Random' / 'Random')","1.0;0.0;-1.0"
"('MCTS-UCB1-0.6-NST' / 'Random' / 'Random')","1.0;0.0;-1.0"
"('MCTS-UCB1-0.6-NST' / 'Random' / 'Random')","1.0;-1.0;0.0"
"('MCTS-UCB1-0.6-NST' / 'Random' / 'Random')","1.0;-1.0;0.0"
"('MCTS-UCB1-0.6-NST' / 'Random' / 'Random')","1.0;-1.0;0.0"
"('MCTS-UCB1-0.6-NST' / 'Random' / 'Random')","1.0;-1.0;0.0"
"('Random' / 'MCTS-UCB1-0.6-NST' / 'Random')","0.0;1.0;-1.0"
"('Random' / 'MCTS-UCB1-0.6-NST' / 'Random')","0.0;1.0;-1.0"
"('Random' / 'MCTS-UCB1-0.6-NST' / 'Random')","0.0;1.0;-1.0"
"('Random' / 'MCTS-UCB1-0.6-NST' / 'Random')","0.0;1.0;-1.0"
"('Random' / 'MCTS-UCB1-0.6-NST' / 'Random')","0.0;1.0;-1.0"
"('Random' / 'MCTS-UCB1-0.6-NST' / 'Random')","0.0;1.0;-1.0"
"('Random' / 'MCTS-UCB1-0.6-NST' / 'Random')","0.0;1.0;-1.0"
"('Random' / 'MCTS-UCB1-0.6-NST' / 'Random')","0.0;1.0;-1.0"
"('Random' / 'MCTS-UCB1-0.6-NST' / 'Random')","0.0;1.0;-1.0"
"('Random' / 'MCTS-UCB1-0.6-NST' / 'Random')","0.0;1.0;-1.0"
"('Random' / 'Random' / 'MCTS-UCB1-0.6-NST')","-1.0;0.0;1.0"
"('Random' / 'Random' / 'MCTS-UCB1-0.6-NST')","-1.0;0.0;1.0"
"('Random' / 'Random' / 'MCTS-UCB1-0.6-NST')","1.0;-1.0;0.0"
"('Random' / 'Random' / 'MCTS-UCB1-0.6-NST')","0.0;-1.0;1.0"
"('Random' / 'Random' / 'MCTS-UCB1-0.6-NST')","-1.0;0.0;1.0"
"('Random' / 'Random' / 'MCTS-UCB1-0.6-NST')","1.0;-1.0;0.0"
"('Random' / 'Random' / 'MCTS-UCB1-0.6-NST')","-1.0;0.0;1.0"
"('Random' / 'Random' / 'MCTS-UCB1-0.6-NST')","-1.0;0.0;1.0"
"('Random' / 'Random' / 'MCTS-UCB1-0.6-NST')","-1.0;0.0;1.0"
"('Random' / 'Random' / 'MCTS-UCB1-0.6-NST')","0.0;-1.0;1.0"
