agents,utilities
"('Random' / 'Random' / 'MCTS-UCB1GRAVE-0.1-Random200' / 'Random' / 'Random' / 'Random' / 'Random')","-0.33333333333333326;0.16666666666666674;1.0;-0.6666666666666665;-1.0;0.16666666666666674;0.6666666666666667"
"('Random' / 'Random' / 'MCTS-UCB1GRAVE-0.1-Random200' / 'Random' / 'Random' / 'Random' / 'Random')","0.5;0.0;1.0;-0.8333333333333333;-0.8333333333333333;0.5;-0.33333333333333326"
"('MCTS-UCB1GRAVE-0.1-Random200' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random')","0.16666666666666674;0.16666666666666674;-1.0;-0.5;-0.5;1.0;0.6666666666666667"
"('MCTS-UCB1GRAVE-0.1-Random200' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random')","-0.5;1.0;0.6666666666666667;-0.5;0.33333333333333337;0.0;-1.0"
"('MCTS-UCB1GRAVE-0.1-Random200' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random')","-1.0;0.6666666666666667;0.33333333333333337;-0.33333333333333326;1.0;0.0;-0.6666666666666665"
"('MCTS-UCB1GRAVE-0.1-Random200' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random')","0.33333333333333337;-1.0;-0.6666666666666665;-0.33333333333333326;0.6666666666666667;0.0;1.0"
"('MCTS-UCB1GRAVE-0.1-Random200' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random')","0.6666666666666667;-0.16666666666666652;-0.6666666666666665;-1.0;-0.16666666666666652;0.33333333333333337;1.0"
"('MCTS-UCB1GRAVE-0.1-Random200' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random')","1.0;-1.0;0.5;-0.16666666666666652;0.5;-0.6666666666666665;-0.16666666666666652"
"('MCTS-UCB1GRAVE-0.1-Random200' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random')","1.0;0.5;-0.33333333333333326;-1.0;-0.6666666666666665;0.0;0.5"
"('MCTS-UCB1GRAVE-0.1-Random200' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random')","1.0;-0.6666666666666665;0.0;0.0;0.0;0.6666666666666667;-1.0"
"('MCTS-UCB1GRAVE-0.1-Random200' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random')","-1.0;-0.16666666666666652;-0.16666666666666652;0.8333333333333334;0.8333333333333334;-0.16666666666666652;-0.16666666666666652"
"('MCTS-UCB1GRAVE-0.1-Random200' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random')","-0.16666666666666652;0.33333333333333337;-0.16666666666666652;0.6666666666666667;1.0;-0.6666666666666665;-1.0"
"('MCTS-UCB1GRAVE-0.1-Random200' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random')","1.0;-1.0;-0.33333333333333326;0.16666666666666674;-0.6666666666666665;0.16666666666666674;0.6666666666666667"
"('MCTS-UCB1GRAVE-0.1-Random200' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random')","-1.0;0.8333333333333334;0.8333333333333334;-0.6666666666666665;0.16666666666666674;0.16666666666666674;-0.33333333333333326"
"('MCTS-UCB1GRAVE-0.1-Random200' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random')","-1.0;1.0;0.0;-0.5;0.5;0.5;-0.5"
"('MCTS-UCB1GRAVE-0.1-Random200' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random')","-0.33333333333333326;0.6666666666666667;0.16666666666666674;1.0;0.16666666666666674;-1.0;-0.6666666666666665"
"('Random' / 'MCTS-UCB1GRAVE-0.1-Random200' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random')","0.33333333333333337;0.6666666666666667;-1.0;1.0;-0.5;0.0;-0.5"
"('Random' / 'MCTS-UCB1GRAVE-0.1-Random200' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random')","-1.0;1.0;0.0;0.6666666666666667;-0.6666666666666665;0.0;0.0"
"('Random' / 'MCTS-UCB1GRAVE-0.1-Random200' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random')","-0.33333333333333326;1.0;0.5;-0.33333333333333326;-0.33333333333333326;-1.0;0.5"
"('Random' / 'MCTS-UCB1GRAVE-0.1-Random200' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random')","-0.8333333333333333;1.0;0.5;0.5;-0.16666666666666652;-0.16666666666666652;-0.8333333333333333"
"('Random' / 'MCTS-UCB1GRAVE-0.1-Random200' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random')","-0.6666666666666665;1.0;0.0;-0.33333333333333326;0.33333333333333337;0.6666666666666667;-1.0"
"('Random' / 'MCTS-UCB1GRAVE-0.1-Random200' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random')","-0.5;-0.5;0.16666666666666674;1.0;-1.0;0.6666666666666667;0.16666666666666674"
"('Random' / 'MCTS-UCB1GRAVE-0.1-Random200' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random')","-0.16666666666666652;1.0;-0.8333333333333333;0.6666666666666667;0.33333333333333337;-0.16666666666666652;-0.8333333333333333"
"('Random' / 'MCTS-UCB1GRAVE-0.1-Random200' / 'Random' / 'Random' / 'Random' / 'Random' / 'Random')","-0.33333333333333326;1.0;0.33333333333333337;-0.6666666666666665;-1.0;0.6666666666666667;0.0"
"('Random' / 'Random' / 'Random' / 'Random' / 'MCTS-UCB1GRAVE-0.1-Random200' / 'Random' / 'Random')","-1.0;0.33333333333333337;0.33333333333333337;-0.33333333333333326;0.33333333333333337;1.0;-0.6666666666666665"
"('Random' / 'Random' / 'Random' / 'Random' / 'MCTS-UCB1GRAVE-0.1-Random200' / 'Random' / 'Random')","0.33333333333333337;-0.16666666666666652;-1.0;-0.6666666666666665;0.6666666666666667;1.0;-0.16666666666666652"
"('Random' / 'Random' / 'Random' / 'Random' / 'MCTS-UCB1GRAVE-0.1-Random200' / 'Random' / 'Random')","1.0;-0.6666666666666665;-1.0;0.6666666666666667;0.33333333333333337;0.0;-0.33333333333333326"
"('Random' / 'Random' / 'Random' / 'Random' / 'MCTS-UCB1GRAVE-0.1-Random200' / 'Random' / 'Random')","0.6666666666666667;-0.6666666666666665;-0.33333333333333326;-1.0;0.0;0.33333333333333337;1.0"
"('Random' / 'Random' / 'Random' / 'Random' / 'MCTS-UCB1GRAVE-0.1-Random200' / 'Random' / 'Random')","-0.5;-1.0;0.33333333333333337;0.33333333333333337;1.0;-0.5;0.33333333333333337"
"('Random' / 'Random' / 'Random' / 'Random' / 'MCTS-UCB1GRAVE-0.1-Random200' / 'Random' / 'Random')","0.16666666666666674;1.0;-0.6666666666666665;-0.33333333333333326;-1.0;0.6666666666666667;0.16666666666666674"
"('Random' / 'Random' / 'Random' / 'Random' / 'MCTS-UCB1GRAVE-0.1-Random200' / 'Random' / 'Random')","0.33333333333333337;-0.33333333333333326;-0.6666666666666665;-1.0;0.0;1.0;0.6666666666666667"
"('Random' / 'Random' / 'Random' / 'Random' / 'MCTS-UCB1GRAVE-0.1-Random200' / 'Random' / 'Random')","-0.5;0.0;1.0;-1.0;0.5;0.5;-0.5"
"('Random' / 'Random' / 'Random' / 'Random' / 'MCTS-UCB1GRAVE-0.1-Random200' / 'Random' / 'Random')","0.0;-0.8333333333333333;-0.33333333333333326;0.5;1.0;-0.8333333333333333;0.5"
"('Random' / 'Random' / 'Random' / 'Random' / 'MCTS-UCB1GRAVE-0.1-Random200' / 'Random' / 'Random')","-1.0;0.6666666666666667;-0.6666666666666665;0.0;1.0;0.0;0.0"
"('Random' / 'Random' / 'Random' / 'Random' / 'MCTS-UCB1GRAVE-0.1-Random200' / 'Random' / 'Random')","-1.0;-0.6666666666666665;0.0;1.0;0.6666666666666667;-0.33333333333333326;0.33333333333333337"
"('Random' / 'Random' / 'Random' / 'MCTS-UCB1GRAVE-0.1-Random200' / 'Random' / 'Random' / 'Random')","-0.6666666666666665;0.16666666666666674;-0.6666666666666665;0.16666666666666674;1.0;0.6666666666666667;-0.6666666666666665"
"('Random' / 'Random' / 'Random' / 'MCTS-UCB1GRAVE-0.1-Random200' / 'Random' / 'Random' / 'Random')","-1.0;-0.6666666666666665;0.33333333333333337;1.0;0.6666666666666667;0.0;-0.33333333333333326"
"('Random' / 'Random' / 'Random' / 'MCTS-UCB1GRAVE-0.1-Random200' / 'Random' / 'Random' / 'Random')","-0.33333333333333326;-1.0;0.5;1.0;-0.33333333333333326;0.5;-0.33333333333333326"
"('Random' / 'Random' / 'Random' / 'MCTS-UCB1GRAVE-0.1-Random200' / 'Random' / 'Random' / 'Random')","0.0;0.0;-1.0;0.0;0.0;1.0;0.0"
"('Random' / 'Random' / 'Random' / 'MCTS-UCB1GRAVE-0.1-Random200' / 'Random' / 'Random' / 'Random')","0.33333333333333337;0.33333333333333337;-0.5;1.0;0.33333333333333337;-0.5;-1.0"
"('Random' / 'Random' / 'Random' / 'MCTS-UCB1GRAVE-0.1-Random200' / 'Random' / 'Random' / 'Random')","0.0;-0.33333333333333326;0.6666666666666667;1.0;0.33333333333333337;-0.6666666666666665;-1.0"
"('Random' / 'Random' / 'Random' / 'MCTS-UCB1GRAVE-0.1-Random200' / 'Random' / 'Random' / 'Random')","1.0;-0.8333333333333333;0.0;0.5;0.5;-0.33333333333333326;-0.8333333333333333"
"('Random' / 'Random' / 'Random' / 'MCTS-UCB1GRAVE-0.1-Random200' / 'Random' / 'Random' / 'Random')","-0.16666666666666652;-0.16666666666666652;1.0;0.5;-0.8333333333333333;0.5;-0.8333333333333333"
"('Random' / 'Random' / 'Random' / 'MCTS-UCB1GRAVE-0.1-Random200' / 'Random' / 'Random' / 'Random')","0.6666666666666667;-0.5;-1.0;1.0;0.0;0.33333333333333337;-0.5"
"('Random' / 'Random' / 'Random' / 'MCTS-UCB1GRAVE-0.1-Random200' / 'Random' / 'Random' / 'Random')","-1.0;0.33333333333333337;-0.6666666666666665;0.0;0.6666666666666667;-0.33333333333333326;1.0"
"('Random' / 'Random' / 'Random' / 'MCTS-UCB1GRAVE-0.1-Random200' / 'Random' / 'Random' / 'Random')","0.16666666666666674;0.16666666666666674;-0.8333333333333333;1.0;-0.8333333333333333;0.16666666666666674;0.16666666666666674"
