agents,utilities
"('Random' / 'Random' / 'MCTS-UCB1-0.1-Random4' / 'Random' / 'Random' / 'Random')","1.0;-0.20000000000000018;1.0;-0.20000000000000018;1.0;-0.20000000000000018"
"('Random' / 'Random' / 'MCTS-UCB1-0.1-Random4' / 'Random' / 'Random' / 'Random')","1.0;-0.20000000000000018;1.0;-0.20000000000000018;1.0;-0.20000000000000018"
"('Random' / 'Random' / 'MCTS-UCB1-0.1-Random4' / 'Random' / 'Random' / 'Random')","-0.20000000000000018;1.0;-0.20000000000000018;1.0;-0.20000000000000018;1.0"
"('Random' / 'Random' / 'MCTS-UCB1-0.1-Random4' / 'Random' / 'Random' / 'Random')","1.0;-0.20000000000000018;1.0;-0.20000000000000018;1.0;-0.20000000000000018"
"('Random' / 'Random' / 'MCTS-UCB1-0.1-Random4' / 'Random' / 'Random' / 'Random')","0.0;0.0;0.0;0.0;0.0;0.0"
"('Random' / 'Random' / 'MCTS-UCB1-0.1-Random4' / 'Random' / 'Random' / 'Random')","-0.20000000000000018;1.0;-0.20000000000000018;1.0;-0.20000000000000018;1.0"
"('Random' / 'Random' / 'MCTS-UCB1-0.1-Random4' / 'Random' / 'Random' / 'Random')","0.0;0.0;0.0;0.0;0.0;0.0"
"('Random' / 'Random' / 'MCTS-UCB1-0.1-Random4' / 'Random' / 'Random' / 'Random')","-0.20000000000000018;1.0;-0.20000000000000018;1.0;-0.20000000000000018;1.0"
"('Random' / 'Random' / 'MCTS-UCB1-0.1-Random4' / 'Random' / 'Random' / 'Random')","1.0;-0.20000000000000018;1.0;-0.20000000000000018;1.0;-0.20000000000000018"
"('Random' / 'Random' / 'MCTS-UCB1-0.1-Random4' / 'Random' / 'Random' / 'Random')","-0.20000000000000018;1.0;-0.20000000000000018;1.0;-0.20000000000000018;1.0"
"('Random' / 'Random' / 'MCTS-UCB1-0.1-Random4' / 'Random' / 'Random' / 'Random')","1.0;-0.20000000000000018;1.0;-0.20000000000000018;1.0;-0.20000000000000018"
"('Random' / 'Random' / 'MCTS-UCB1-0.1-Random4' / 'Random' / 'Random' / 'Random')","1.0;-0.20000000000000018;1.0;-0.20000000000000018;1.0;-0.20000000000000018"
"('Random' / 'MCTS-UCB1-0.1-Random4' / 'Random' / 'Random' / 'Random' / 'Random')","-0.20000000000000018;1.0;-0.20000000000000018;1.0;-0.20000000000000018;1.0"
"('Random' / 'MCTS-UCB1-0.1-Random4' / 'Random' / 'Random' / 'Random' / 'Random')","1.0;-0.20000000000000018;1.0;-0.20000000000000018;1.0;-0.20000000000000018"
"('Random' / 'MCTS-UCB1-0.1-Random4' / 'Random' / 'Random' / 'Random' / 'Random')","-0.20000000000000018;1.0;-0.20000000000000018;1.0;-0.20000000000000018;1.0"
"('Random' / 'MCTS-UCB1-0.1-Random4' / 'Random' / 'Random' / 'Random' / 'Random')","0.0;0.0;0.0;0.0;0.0;0.0"
"('Random' / 'MCTS-UCB1-0.1-Random4' / 'Random' / 'Random' / 'Random' / 'Random')","-0.20000000000000018;1.0;-0.20000000000000018;1.0;-0.20000000000000018;1.0"
"('Random' / 'MCTS-UCB1-0.1-Random4' / 'Random' / 'Random' / 'Random' / 'Random')","-0.20000000000000018;1.0;-0.20000000000000018;1.0;-0.20000000000000018;1.0"
"('Random' / 'MCTS-UCB1-0.1-Random4' / 'Random' / 'Random' / 'Random' / 'Random')","-0.20000000000000018;1.0;-0.20000000000000018;1.0;-0.20000000000000018;1.0"
"('Random' / 'MCTS-UCB1-0.1-Random4' / 'Random' / 'Random' / 'Random' / 'Random')","1.0;-0.20000000000000018;1.0;-0.20000000000000018;1.0;-0.20000000000000018"
"('Random' / 'MCTS-UCB1-0.1-Random4' / 'Random' / 'Random' / 'Random' / 'Random')","0.0;0.0;0.0;0.0;0.0;0.0"
